3, -5.89063, 1,-2.06469e-13, 0, -1
3.19509, -5.89063, 0.980785,-0.19509, 0, -0.980785
3.38268, -5.89063, 0.92388,-0.382683, 0, -0.92388
3.55557, -5.89063, 0.83147,-0.55557, 0, -0.83147
3.70711, -5.89063, 0.707107,-0.707107, 0, -0.707107
3.83147, -5.89063, 0.55557,-0.83147, 0, -0.55557
3.92388, -5.89063, 0.382683,-0.92388, 0, -0.382683
3.98079, -5.89063, 0.19509,-0.980785, 0, -0.19509
4, -5.89063, -2.06823e-13,-1, 0, 2.0612e-13
3.98079, -5.89063, -0.19509,-0.980785, 0, 0.19509
3.92388, -5.89063, -0.382683,-0.92388, 0, 0.382683
3.83147, -5.89063, -0.55557,-0.83147, 0, 0.55557
3.70711, -5.89063, -0.707107,-0.707107, 0, 0.707107
3.55557, -5.89063, -0.83147,-0.55557, 0, 0.83147
3.38268, -5.89063, -0.92388,-0.382683, 0, 0.92388
3.19509, -5.89063, -0.980785,-0.19509, 0, 0.980785
3, -5.89063, -1,3.10728e-13, 0, 1
2.80491, -5.89063, -0.980785,0.19509, 0, 0.980785
2.61732, -5.89063, -0.92388,0.382683, 0, 0.92388
2.44443, -5.89063, -0.83147,0.55557, 0, 0.83147
2.29289, -5.89063, -0.707107,0.707107, 0, 0.707107
2.16853, -5.89063, -0.55557,0.83147, 0, 0.55557
2.07612, -5.89063, -0.382683,0.92388, 0, 0.382683
2.01921, -5.89063, -0.19509,0.980785, 0, 0.19509
2, -5.89063, 4.13646e-13,1, 0, -4.13837e-13
2.01921, -5.89063, 0.19509,0.980785, 0, -0.19509
2.07612, -5.89063, 0.382683,0.92388, 0, -0.382683
2.16853, -5.89063, 0.55557,0.83147, 0, -0.55557
2.29289, -5.89063, 0.707107,0.707107, 0, -0.707107
2.44443, -5.89063, 0.83147,0.55557, 0, -0.83147
2.61732, -5.89063, 0.92388,0.382683, 0, -0.92388
2.80491, -5.89063, 0.980785,0.19509, 0, -0.980785
3, -5.69428, 1,-2.06469e-13, 0, -1
3.19509, -5.69428, 0.980785,-0.19509, 0, -0.980785
3.38268, -5.69428, 0.92388,-0.382683, 0, -0.92388
3.55557, -5.69428, 0.83147,-0.55557, 0, -0.83147
3.70711, -5.69428, 0.707107,-0.707107, 0, -0.707107
3.83147, -5.69428, 0.55557,-0.83147, 0, -0.55557
3.92388, -5.69428, 0.382683,-0.92388, 0, -0.382683
3.98079, -5.69428, 0.19509,-0.980785, 0, -0.19509
4, -5.69428, -2.06823e-13,-1, 0, 2.0612e-13
3.98079, -5.69428, -0.19509,-0.980785, 0, 0.19509
3.92388, -5.69428, -0.382683,-0.92388, 0, 0.382683
3.83147, -5.69428, -0.55557,-0.83147, 0, 0.55557
3.70711, -5.69428, -0.707107,-0.707107, 0, 0.707107
3.55557, -5.69428, -0.83147,-0.55557, 0, 0.83147
3.38268, -5.69428, -0.92388,-0.382683, 0, 0.92388
3.19509, -5.69428, -0.980785,-0.19509, 0, 0.980785
3, -5.69428, -1,3.10728e-13, 0, 1
2.80491, -5.69428, -0.980785,0.19509, 0, 0.980785
2.61732, -5.69428, -0.92388,0.382683, 0, 0.92388
2.44443, -5.69428, -0.83147,0.55557, 0, 0.83147
